token	weight	state_id
ابىز	218	50168
ابىزال	221	101842
ابىستاي	183	17175
ابىستايلار	223	83653
ابىستايىڭ	227	101724
ابىسنىڭ	226	94771
ابىسىن	184	19479
ابىسىندار	202	38966
ابىسىنى	221	33602
ابىسىنىم	200	33603
ابىسىنىڭ	203	40429
ابىش	225	101156
ابىل	212	50758
ابىلاي	206	50760
ابىگەر	224	87435
ابيتان	217	71577
ابيتانعا	220	71579
ابيدا	220	78268
ابەت	218	83735
ابەك	220	81565
ابەكە	220	81566
ابەن	211	63729
ابەي	219	83858
ات	115	354
اتا	118	1200
اتاانالار	209	51013
اتابى	227	91040
اتابىز	227	91041
اتات	189	12091
اتاتىن	176	12093
اتادا	228	39361
اتادان	207	39362
اتادى	170	9715
اتار	201	28765
اتاسال	181	15524
اتاسالايىن	225	84525
اتاسالساڭ	228	97013
اتاسالشى	206	40646
اتاسالىڭىز	216	59645
اتاسمەن	226	102565
اتاسنا	223	84140
اتاسنىڭ	200	37030
اتاسى	160	7917
اتاسىز	210	53037
اتاسىزبا	223	78415
اتاسىمەن	207	49969
اتاسىن	205	20358
اتاسىنا	200	29759
اتاسىنىڭ	185	20360
اتاسىڭ	178	14613
اتاسىڭبا	196	26974
اتاسىڭبى	227	110650
